Order	Coral_Species	Phylotype
871	Acropora millepora	C3
872	Acropora millepora	C3
873	Acropora millepora	C3
874	Acropora millepora	C3
875	Acropora millepora	C3
876	Acropora millepora	C3
877	Acropora millepora	C3
878	Acropora millepora	C3
879	Acropora millepora	C3
880	Acropora millepora	C3
881	Acropora millepora	C3
882	Acropora millepora	C3
883	Acropora millepora	C3
884	Acropora millepora	C3
885	Acropora millepora	C3
886	Acropora millepora	C3
887	Acropora millepora	C3
888	Acropora millepora	C3
889	Acropora millepora	C3
890	Acropora millepora	C3
891	Acropora millepora	C3
892	Acropora millepora	C3
893	Acropora millepora	C3
894	Acropora millepora	C3
895	Acropora millepora	C3
896	Acropora millepora	C3
897	Acropora millepora	C3
898	Acropora millepora	C3
899	Acropora millepora	C3
900	Acropora millepora	C3
901	Acropora millepora	C3
902	Acropora millepora	C3
903	Acropora millepora	C3
904	Acropora millepora	C3
905	Acropora millepora	C3
906	Acropora millepora	C3
907	Acropora millepora	C3
908	Acropora millepora	C3
909	Acropora millepora	C3
910	Acropora millepora	C3
911	Acropora millepora	C3
912	Acropora millepora	C3
913	Acropora millepora	C3
914	Acropora millepora	C3
915	Acropora millepora	C3
916	Acropora millepora	C3
917	Acropora millepora	C3
918	Acropora millepora	C3
919	Acropora millepora	C3
920	Acropora millepora	C3
921	Acropora millepora	C3
922	Acropora millepora	C3
923	Acropora millepora	C3
924	Acropora millepora	C3
925	Acropora millepora	C3
926	Acropora millepora	C3
927	Acropora millepora	C3
928	Acropora millepora	C3
929	Acropora millepora	C3
930	Acropora millepora	C3
931	Acropora millepora	C3
932	Acropora millepora	C3
933	Acropora millepora	C3
934	Acropora millepora	C3
935	Acropora millepora	C3
936	Acropora millepora	C3
937	Acropora millepora	C3
938	Acropora millepora	C3
939	Acropora millepora	C3
940	Acropora millepora	C3
941	Acropora millepora	C3
942	Acropora millepora	C3
943	Acropora millepora	C3
944	Acropora millepora	C3
945	Acropora millepora	C3
946	Acropora millepora	C3
947	Acropora millepora	C3
948	Acropora millepora	C3
949	Acropora millepora	C3
950	Acropora millepora	C3
951	Acropora millepora	C3
952	Acropora millepora	C3
953	Acropora millepora	C3
954	Acropora millepora	C3
955	Acropora millepora	C3
956	Acropora millepora	C3
957	Acropora millepora	C3
958	Acropora millepora	C3
959	Acropora millepora	C3
960	Acropora millepora	C3
961	Acropora millepora	C3
962	Acropora millepora	C3
963	Acropora millepora	C3
964	Acropora millepora	C3
965	Acropora millepora	C3
966	Acropora millepora	C3
967	Acropora millepora	C3
968	Acropora millepora	C3
969	Acropora millepora	C3
970	Acropora millepora	C3
971	Acropora millepora	C3
972	Acropora millepora	C3
973	Acropora millepora	C3
974	Acropora millepora	C3
975	Acropora millepora	C3
976	Acropora millepora	C3
977	Acropora millepora	C3
978	Acropora millepora	C3
979	Acropora millepora	C3
980	Acropora millepora	C3
981	Acropora millepora	C3
982	Acropora millepora	C3
983	Acropora millepora	C3
984	Acropora millepora	C3
985	Acropora millepora	C3
986	Acropora millepora	C3
987	Acropora millepora	C3
988	Acropora millepora	C3
989	Acropora millepora	C3
990	Acropora millepora	C3
991	Acropora millepora	C3
992	Acropora millepora	C3
993	Acropora millepora	C3
994	Acropora millepora	C3
995	Acropora millepora	C3
